"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.688953750E0,-6.811871018E-1,6.514149070E-2,3.391806078E-1
2.699000750E0,-6.859556524E-1,1.112479556E-1,-5.522227407E-2
2.709047750E0,-7.190104741E-1,1.887747261E-1,-3.812273508E-1
2.719094750E0,-8.026564289E-1,2.523096943E-1,-6.876910329E-1
2.729141750E0,-7.517094196E-1,2.153769261E-1,-9.737455934E-1
2.739188750E0,-6.105509460E-1,1.546038902E-1,-1.224232711E0
2.749235750E0,-5.389107502E-1,-5.063571811E-2,-1.375682613E0
2.759282750E0,-5.909710693E-1,-3.220663923E-1,-1.344242134E0
2.769330750E0,-6.397698116E-1,-5.064694476E-1,-1.142306203E0
2.779377750E0,-6.871371554E-1,-6.206266853E-1,-8.181704807E-1
2.789424750E0,-7.502760478E-1,-5.980122864E-1,-5.610765946E-1
2.799471750E0,-7.295626518E-1,-4.816392463E-1,-4.302398819E-1
2.809518750E0,-6.197536960E-1,-3.087131059E-1,-2.296973419E-1
2.819565750E0,-5.342661972E-1,-1.089391825E-1,-3.528560758E-2
2.829612750E0,-5.120115482E-1,-1.722005010E-4,1.312278914E-1
2.839659750E0,-4.970411413E-1,3.177932471E-2,2.950657046E-1
2.849706750E0,-3.900608857E-1,7.875234693E-2,4.947603983E-1
2.859754750E0,-2.316496359E-1,1.634863955E-1,5.895303154E-1
2.869801750E0,-9.764614424E-2,1.710968390E-1,5.999553162E-1
2.879848750E0,8.238187814E-3,1.173995188E-1,5.595925713E-1
2.889895750E0,1.025612498E-1,9.851476640E-2,4.218725163E-1
2.899942750E0,1.805708633E-1,5.164377809E-2,2.268456548E-1
2.909989750E0,2.528954391E-1,5.246998966E-2,3.760870636E-2
2.920036750E0,2.670994954E-1,7.402487308E-2,-2.132555562E-1
2.930083750E0,2.683877832E-1,1.144025284E-1,-4.752663660E-1
2.940130750E0,2.923224103E-1,1.577409214E-1,-7.130960155E-1
2.950178750E0,3.584694759E-1,1.767528507E-1,-8.952613413E-1
2.960225750E0,4.409898051E-1,9.388464868E-2,-8.973347640E-1
2.970272750E0,3.755999905E-1,2.527722090E-2,-6.605108356E-1
2.980319750E0,1.237363291E-1,8.359764218E-3,-2.324215597E-1
2.990366750E0,-1.509470415E-1,-3.505435020E-2,2.327314621E-1
3.000413750E0,-3.018030492E-1,-1.453784457E-1,5.737972122E-1
